ID,Weapon_Name,Country_of_Origin,Manufacturer,Category,Subcategory,Year_Introduced,Year_Retired,Service_Status,Caliber,Action_Type,Effective_Range_m,Max_Range_m,Weight_kg,Length_mm,Barrel_Length_mm,Muzzle_Velocity_mps,Rate_of_Fire_rpm,Magazine_Capacity,Warhead_Weight_kg,Max_Speed_kmh,Crew_Size,Unit_Cost_USD,Num_Operator_Nations,Primary_Users,NATO_Compatible,Generation,Theater_of_Operation,Export_Status,Combat_Proven,Propulsion_Type,Guidance_System,Communication_System,Operating_Environment,Protection_Level,Notes
422,Patriot-267,Kenya,Armed Forces Ordnance,Air Defense,Short-Range SAM,1945,,Testing/Evaluation,127mm,Command inertial/TVM,69267,83122,6058.75,,,,,,122.8,,8,49327398,33,Kenya + 32 allied nations,N/A,5th,Land,Embargoed,No,Chemical,IR homing,HF/VHF/UHF,Jungle,Full spectrum protection,5th generation Short-Range SAM; operated by Kenya; testing/evaluation service; Jungle optimised
423,INS-476,Zambia,National Defence Industries,Naval,Landing Helicopter Dock,2000,,Active,76mm OTO Melara,N/A - naval propulsion,,,85649258.52,183684,,,,,,,4482,3618313465,31,Zambia + 30 allied nations,Partial,4th,Sea,Exported,No,CODAD diesel,Manual,BFT Blue Force Tracking,Naval,Soft-kill APS,4th generation Landing Helicopter Dock; operated by Zambia; active service; Naval optimised
424,NSM-Cobra,Canada,Colt Canada,Missile,Anti-Satellite Missile,1981,,Active (Limited),178mm,Maneuvering reentry vehicle,8710168,9190207,78878.4,18254,,,,2,529.5,623,2,28645503,33,Canada + 32 allied nations,No,4.5th,Sea,Exported,No,Liquid fuel rocket,Laser semi-active,Encrypted UHF/VHF,Arctic/Cold weather,Composite + ERA,4.5th generation Anti-Satellite Missile; operated by Canada; active (limited) service; Arctic/Cold weather optimised
425,T-488,DR Congo,Ministry Arms Factory,Artillery,Coastal Artillery,1980,,Testing/Evaluation,300mm heavy rocket,Separate loading QF,139087,346466,24972.76,11907,,,27,42,,,4,7001865,23,DR Congo + 22 allied nations,N/A,2nd,Land,Embargoed,Limited,Towed (no propulsion),Optical,UHF radio,Underground,Steel plate,2nd generation Coastal Artillery; operated by DR Congo; testing/evaluation service; Underground optimised
426,K-166,Bahrain,Defence Production Corp,Artillery,Multiple Rocket Launcher,1958,,Active,227mm MLRS rocket,Autoloaded carousel,148179,205032,8149.22,4874,,,18,73,,,7,1147997,29,Bahrain + 28 allied nations,N/A,3rd,Land,Not Exported,No,N/A,Unguided,Encrypted UHF/VHF,Mountain,Composite Chobham,3rd generation Multiple Rocket Launcher; operated by Bahrain; active service; Mountain optimised
427,KEPD-73,Turkey,Nurol Makina,Missile,Ballistic SRBM,1948,1965,Retired,348mm,Active radar terminal,13399898,14792605,65610.1,,,,,9,546.6,7198,2,45646790,31,Turkey + 30 allied nations,Partial,4.5th,Sea,Exported,Yes,Liquid fuel rocket,RF command,BFT Blue Force Tracking,Underground,NERA,4.5th generation Ballistic SRBM; operated by Turkey; retired service; Underground optimised
428,MV-A4,Poland,WB Electronics,Naval,Guided Missile Cruiser,1957,,Active,Torpedo 533mm,N/A - naval propulsion,,,62198629.59,,,,,,,,2378,16602085824,17,Poland + 16 allied nations,N/A,4.5th,Sea,Key Export Product,Yes,CODAD diesel,N/A,JTIDS,Littoral,Composite Chobham,4.5th generation Guided Missile Cruiser; operated by Poland; active service; Littoral optimised
429,ZBD-83,Tunisia,State Arsenal,Armored Vehicle,Self-Propelled AA Vehicle,2014,,In Development,23mm autocannon,N/A - unmanned turret,7891,13866,,5204,,,,,,,1,2765408,22,Tunisia + 21 allied nations,Yes,3.5th,Land,Embargoed,Limited,Hybrid diesel-electric,N/A,Link 11,Desert,NERA,3.5th generation Self-Propelled AA Vehicle; operated by Tunisia; in development service; Desert optimised
430,K-438,Tajikistan,Ministry Arms Factory,UAS,Swarm Drone System,1979,,In Development,N/A - EO/IR payload only,Operator-in-loop BLOS,,,11706.14,4387,,,,,509.9,98,0,6588941,13,Tajikistan + 12 allied nations,N/A,1st,Land,Embargoed,No,Solid rocket,Anti-radiation passive,IFF Mode 4/5,Arctic/Cold weather,NERA,1st generation Swarm Drone System; operated by Tajikistan; in development service; Arctic/Cold weather optimised
431,Shahed-251,Italy,SELEX ES,UAS,Tactical UAS,1960,,Reserve,Laser designator only,Semi-autonomous loiter,4366375,7055385,10595.2,10515,,,,,533.0,574,0,218314015,16,Italy + 15 allied nations,Yes,2nd,Air,Not Exported,No,Turboprop,Autonomous AI,VHF radio,Amphibious,Composite + ERA,2nd generation Tactical UAS; operated by Italy; reserve service; Amphibious optimised
432,BMP-498,Paraguay,State Defence Enterprise,Armored Vehicle,Infantry Fighting Vehicle,2006,2012,Retired,20mm autocannon,N/A - manual loading,4714,7761,33341.46,5372,,,,,,,5,16963257,19,Paraguay + 18 allied nations,No,6th (prototype),Land,Very Limited Export,Limited,Hybrid diesel-electric,Inertial,UHF radio,Urban,Composite + ERA,6th (prototype) generation Infantry Fighting Vehicle; operated by Paraguay; retired service; Urban optimised
433,VBCI-394,Romania,Ministry Arms Factory,Armored Vehicle,Light Tank,2011,,Active,73mm gun,N/A - autoloader,6019,11144,,7242,,,,,,,8,17168895,2,Romania + 1 allied nations,N/A,1st,Land,Very Limited Export,Limited,Gas turbine,Manual,UHF radio,Urban,Explosive Reactive Armour (ERA),1st generation Light Tank; operated by Romania; active service; Urban optimised
434,C-59,Botswana,State Defence Enterprise,Aircraft,Multirole Fighter,1994,,Active (Limited),20mm rotary cannon,N/A - fly-by-wire,3092631,4644387,68174.85,26129,,,,,,,5,3018894382,22,Botswana + 21 allied nations,Partial,3.5th,Air,Very Limited Export,Limited,Combined turbofan+ramjet,Inertial,BFT Blue Force Tracking,Naval,Composite + Trophy APS,3.5th generation Multirole Fighter; operated by Botswana; active (limited) service; Naval optimised
435,M-451,Philippines,Armed Forces Ordnance,Support Weapon,Anti-Tank Mine Layer,2013,,Active (Limited),66mm,Blowback full auto,4618,7951,30.75,,1531,,23,20,369.4,,3,32615,17,Philippines + 16 allied nations,Yes,2nd,Land,Exported,Limited,Electric,Manual,HF/VHF/UHF,All-terrain,Active Protection System,2nd generation Anti-Tank Mine Layer; operated by Philippines; active (limited) service; All-terrain optimised
436,CR-266,France,PGM Précision,Small Arm,Grenade Launcher,2006,2024,Retired,4.6x30mm,Short recoil operated,1469,1991,12.36,744,729,646,591,132,,,1,32222,3,France + 2 allied nations,No,6th (prototype),Land,Exported,No,N/A,Inertial,IFF Mode 4/5,Jungle,No armor,6th (prototype) generation Grenade Launcher; operated by France; retired service; Jungle optimised
437,BTR-302,Uganda,National Ordnance Plant,Armored Vehicle,Main Battle Tank,2014,,In Development,12.7mm HMG,N/A - autoloader,1357,2185,23143.19,6656,,,,,,,7,1563659,28,Uganda + 27 allied nations,Partial,3rd,Land,Very Limited Export,Limited,Diesel inline-6,Manual,BFT Blue Force Tracking,Underground,Composite + ERA,3rd generation Main Battle Tank; operated by Uganda; in development service; Underground optimised
438,INS-230,Belgium,National Ordnance Plant,Naval,Aircraft Carrier,1950,,Active,114mm Mk8,N/A - naval propulsion,,,24383241.09,249045,,,,,,,4167,14105656658,23,Belgium + 22 allied nations,No,5th,Sea,Widely Exported,Limited,COGAG gas turbine,Unguided,Software Defined Radio,Underground,Steel plate,5th generation Aircraft Carrier; operated by Belgium; active service; Underground optimised
439,HMS-371,Kazakhstan,National Defence Industries,Naval,Littoral Combat Ship,2012,,Testing/Evaluation,76mm OTO Melara,N/A - naval propulsion,,,59877012.88,82407,,,,,,,4716,5285779579,16,Kazakhstan + 15 allied nations,Partial,3.5th,Sea,Not Exported,No,CODAD diesel,N/A,IFF Mode 4/5,Jungle,Active Protection System,3.5th generation Littoral Combat Ship; operated by Kazakhstan; testing/evaluation service; Jungle optimised
440,Type-104,Armenia,National Defence Industries,Support Weapon,Thermobaric Launcher,1991,2011,Retired,40x46mm,Single-shot reloadable,5066,8098,29.31,1819,1018,181,15,,252.8,,2,69333,13,Armenia + 12 allied nations,No,5th+,Land,Not Exported,Yes,Chemical,Manual,Software Defined Radio,High-altitude,Soft-kill APS,5th+ generation Thermobaric Launcher; operated by Armenia; retired service; High-altitude optimised
441,9M-188,Sri Lanka,State Defence Enterprise,Anti-Tank,Wire-Guided ATGM,1948,,In Development,84mm,Laser beam riding,30343,47314,45.75,1491,,,,1,538.5,,2,415260,7,Sri Lanka + 6 allied nations,Yes,2nd,Air,Limited Export,No,Chemical,RF guided,Link 16 datalink,All-terrain,Soft-kill APS,2nd generation Wire-Guided ATGM; operated by Sri Lanka; in development service; All-terrain optimised
442,FS-216,Netherlands,State Arsenal,Naval,Guided Missile Cruiser,2020,,Reserve,155mm AGS,N/A - naval propulsion,,,50482422.75,208185,,,,,,,797,4192259855,32,Netherlands + 31 allied nations,Partial,1st,Sea,Very Limited Export,No,CODAG combined,Manual,Software Defined Radio,Arctic/Cold weather,Rolled Homogeneous Armour (RHA),1st generation Guided Missile Cruiser; operated by Netherlands; reserve service; Arctic/Cold weather optimised
443,Kh-Sentinel,Cuba,National Ordnance Plant,Missile,Ballistic IRBM,1957,,Active,520mm,Passive IR seeker,4111358,4587607,34649.48,19787,,,,11,400.0,3292,5,60398984,2,Cuba + 1 allied nations,Yes,6th (prototype),Sea,Key Export Product,Yes,Solid rocket motor,RF command,VHF radio,Amphibious,Composite Chobham,6th (prototype) generation Ballistic IRBM; operated by Cuba; active service; Amphibious optimised
444,JSM-v1,Lithuania,Ministry Arms Factory,Missile,Anti-Ballistic Missile,2003,,Active,178mm,Passive anti-radiation,12671938,14150255,31599.95,19868,,,,2,212.4,,2,58199832,21,Lithuania + 20 allied nations,No,6th (prototype),Land,Very Limited Export,No,Liquid fuel rocket,IR imaging,VHF radio,Naval,Steel plate,6th (prototype) generation Anti-Ballistic Missile; operated by Lithuania; active service; Naval optimised
445,PLZ-241,Zimbabwe,State Arsenal,Artillery,Multiple Rocket Launcher,1946,,Active,130mm,Ram-loaded,330220,718344,10522.01,12802,,,6,76,,,5,111721,5,Zimbabwe + 4 allied nations,N/A,6th (prototype),Land,Widely Exported,Yes,Self-propelled diesel,Unguided,IFF Mode 4/5,Mountain,Electro-optical APS,6th (prototype) generation Multiple Rocket Launcher; operated by Zimbabwe; active service; Mountain optimised
446,T-356,Slovenia,Ministry Arms Factory,Special Systems,Counter-IED System,1983,,Active,Jamming spectrum,Passive RF collection,796766,1421765,24151.76,,,,,,,,2,77036482,19,Slovenia + 18 allied nations,N/A,5th+,Air,Not Exported,Limited,Chemical,N/A,HF/VHF/UHF,All-terrain,Composite + ERA,5th+ generation Counter-IED System; operated by Slovenia; active service; All-terrain optimised
447,C-171,Oman,Government Defence Works,Missile,Land-Attack Cruise Missile,2007,,Reserve,740mm,Nuclear-armed inertial,4367498,4918340,93949.12,,,,,3,190.8,6466,4,20885522,4,Oman + 3 allied nations,Partial,5th+,Sea,Not Exported,No,Solid rocket motor,Passive IR,SINGCARS,Naval,Composite Chobham,5th+ generation Land-Attack Cruise Missile; operated by Oman; reserve service; Naval optimised
448,HERON-340,Oman,National Defence Industries,UAS,Mini/Nano UAS,2023,,Reserve,Laser designator only,AI-assisted autonomous targeting,201159,592304,1624.73,12788,,,,,460.2,649,4,52616242,35,Oman + 34 allied nations,No,3rd,Land,Key Export Product,Limited,Turboprop,Autonomous AI,Software Defined Radio,Arctic/Cold weather,Classified composite,3rd generation Mini/Nano UAS; operated by Oman; reserve service; Arctic/Cold weather optimised
449,YJ-156,Georgia,Defence Production Corp,Missile,Ballistic SRBM,1946,,Active,127mm,Dual IR/radar seeker,5972071,6705053,36207.41,15675,,,,3,74.4,9346,2,65470939,18,Georgia + 17 allied nations,Yes,2nd,Air,Exported,Limited,Hypersonic scramjet,GPS/INS,VHF radio,Multi-environment,Full spectrum protection,2nd generation Ballistic SRBM; operated by Georgia; active service; Multi-environment optimised
450,MK-238,Nepal,State Defence Enterprise,Support Weapon,Guided Missile Launcher,1969,,Reserve,120mm smoothbore recoilless,Blowback full auto,5142,8846,102.04,,1006,254,18,14,421.8,,5,29731,2,Nepal + 1 allied nations,N/A,5th,Land,Key Export Product,Limited,N/A,Unguided,SATCOM,Littoral,No armor,5th generation Guided Missile Launcher; operated by Nepal; reserve service; Littoral optimised
451,C-Lynx,Slovenia,National Defence Industries,Aircraft,Aerial Tanker,1984,,Active,27mm Mauser BK-27,N/A - FBW quadruplex,1792679,2363609,108523.8,14773,,,,,,1883,6,3359241437,15,Slovenia + 14 allied nations,Yes,5th+,Air,Limited Export,No,Ramjet,Manual,HF/VHF/UHF,Urban,Composite + ERA,5th+ generation Aerial Tanker; operated by Slovenia; active service; Urban optimised
452,INS-171,Namibia,State Arsenal,Naval,Littoral Combat Ship,1979,,In Development,127mm Mk45,N/A - naval propulsion,,,36051818.94,122988,,,,,,,3960,9267043614,6,Namibia + 5 allied nations,Yes,5th,Sea,Limited Export,Yes,Conventional propeller,N/A,HF/VHF/UHF,High-altitude,Soft-kill APS,5th generation Littoral Combat Ship; operated by Namibia; in development service; High-altitude optimised
453,Tor-Mk.III,Namibia,National Defence Industries,Air Defense,Laser-Based Air Defense,1949,,Active (Limited),127mm,Active radar homing,314991,422045,20912.02,,,,,,70.8,,5,1439890188,18,Namibia + 17 allied nations,Partial,4.5th,Land,Not Exported,No,Mechanical,3-band optical,SATCOM,Littoral,Soft-kill APS,4.5th generation Laser-Based Air Defense; operated by Namibia; active (limited) service; Littoral optimised
454,INS-63,Slovakia,Government Defence Works,Naval,Conventional Submarine,1971,,Active,114mm Mk8,N/A - naval propulsion,,,95395569.18,,,,,,,,3414,3238375674,31,Slovakia + 30 allied nations,Yes,1st,Sea,Widely Exported,Yes,COGAG gas turbine,N/A,JTIDS,All-terrain,Composite + ERA,1st generation Conventional Submarine; operated by Slovakia; active service; All-terrain optimised
455,INS-222,Bolivia,Ministry Arms Factory,Naval,Landing Helicopter Dock,1953,,Active,ASROC,N/A - naval propulsion,,,1703760.89,110940,,,,,,,3495,10526663905,20,Bolivia + 19 allied nations,Partial,5th,Sea,Exported,Limited,Pump-jet,Optical,UHF radio,Littoral,Rolled Homogeneous Armour (RHA),5th generation Landing Helicopter Dock; operated by Bolivia; active service; Littoral optimised
456,M-332,Chile,National Defence Industries,Armored Vehicle,Infantry Fighting Vehicle,1961,,Testing/Evaluation,125mm smoothbore,N/A - unmanned turret,6358,10900,71620.46,9182,,,,,,,8,4004728,1,Chile,No,3.5th,Land,Key Export Product,Limited,Diesel V-8,Optical,HF/VHF/UHF,All-terrain,Full spectrum protection,3.5th generation Infantry Fighting Vehicle; operated by Chile; testing/evaluation service; All-terrain optimised
457,PP-355,Australia,EOS Defence,Support Weapon,Light Mortar,1999,2019,Retired,84mm,Blowback full auto,1469,2338,86.05,1029,942,432,38,35,504.0,,5,53276,17,Australia + 16 allied nations,Yes,6th (prototype),Land,Widely Exported,No,Manual,N/A,Link 11,All-terrain,Composite + Trophy APS,6th (prototype) generation Light Mortar; operated by Australia; retired service; All-terrain optimised
458,DF-178,Uruguay,Defence Production Corp,Missile,Ballistic SRBM,1993,,Active,300mm,Passive anti-radiation,2941562,3247921,70361.23,18309,,,,6,8.1,9237,6,38319640,3,Uruguay + 2 allied nations,Partial,4th,Sea,Embargoed,Limited,Solid rocket motor,RF command,BLOS datalink,Underground,Active Protection System,4th generation Ballistic SRBM; operated by Uruguay; active service; Underground optimised
459,E-376,France,PGM Précision,Aircraft,Strategic Bomber,1948,,Reserve,27mm Mauser BK-27,N/A - FBW quadruplex,13115333,16947026,186307.99,,,,,,,855,1,3432129656,18,France + 17 allied nations,No,1st,Air,Key Export Product,Limited,Combined turbofan+ramjet,Manual,IFF Mode 4/5,Arctic/Cold weather,Classified composite,1st generation Strategic Bomber; operated by France; reserve service; Arctic/Cold weather optimised
460,RQ-187,Kyrgyzstan,State Defence Enterprise,UAS,Armed MALE UAS,1998,2024,Retired,N/A - EO/IR payload only,Operator-in-loop BLOS,7613408,13666279,3106.7,,,,,,365.2,436,0,77791475,23,Kyrgyzstan + 22 allied nations,Yes,4.5th,Land,Exported,Limited,Piston engine,Laser spot tracking,SINGCARS,Desert,Steel plate,4.5th generation Armed MALE UAS; operated by Kyrgyzstan; retired service; Desert optimised
461,RCL-358,Algeria,State Arsenal,Support Weapon,Heavy Mortar,1966,,Testing/Evaluation,60mm,Single-shot reloadable,5561,10087,69.1,2102,1246,203,14,28,248.6,,2,33099,13,Algeria + 12 allied nations,No,4th,Land,Widely Exported,No,Electric,N/A,SINGCARS,Amphibious,Electro-optical APS,4th generation Heavy Mortar; operated by Algeria; testing/evaluation service; Amphibious optimised
462,MSTAR-144,Portugal,Ministry Arms Factory,Special Systems,Battlefield Radar,1949,,Reserve,Directed energy beam,Remote-operated,210741,506700,40583.23,3678,,,,,,,5,7333339,14,Portugal + 13 allied nations,Partial,3.5th,Air,Very Limited Export,Yes,N/A,Inertial,Encrypted UHF/VHF,Underground,Rolled Homogeneous Armour (RHA),3.5th generation Battlefield Radar; operated by Portugal; reserve service; Underground optimised
463,A-259,Indonesia,State Defence Enterprise,Aircraft,Electronic Warfare Aircraft,2020,,Active,N/A (no gun),N/A - FBW quadruplex,5639708,10324708,105395.86,56663,,,,,,1595,2,1869497564,12,Indonesia + 11 allied nations,Yes,5th+,Air,Exported,Limited,Ramjet,Unguided,IFF Mode 4/5,Naval,Active Protection System,5th+ generation Electronic Warfare Aircraft; operated by Indonesia; active service; Naval optimised
464,T-1,UAE,Government Defence Works,Artillery,Ammunition Resupply Vehicle,1996,,Active,105mm,Semi-automatic breech,315501,618081,50495.45,8809,,,,73,,,5,9518819,9,UAE + 8 allied nations,No,4.5th,Land,Embargoed,No,Towed (no propulsion),Manual,SINGCARS,Naval,Rolled Homogeneous Armour (RHA),4.5th generation Ammunition Resupply Vehicle; operated by UAE; active service; Naval optimised
465,MSTAR-249,Greece,Ministry Arms Factory,Special Systems,Electronic Warfare System,1983,,Active,N/A,Remote-operated,203401,240081,34298.74,5429,,,,,,,8,12813637,7,Greece + 6 allied nations,N/A,6th (prototype),Sea,Limited Export,Limited,Manual,Unguided,Encrypted UHF/VHF,Naval,Full spectrum protection,6th (prototype) generation Electronic Warfare System; operated by Greece; active service; Naval optimised
466,RCL-394,Poland,WB Electronics,Support Weapon,Automatic Grenade Launcher,1962,,Active (Limited),105mm recoilless,Gas-operated semi/full auto,9850,16855,87.86,,1236,165,31,17,494.0,,5,72100,26,Poland + 25 allied nations,Yes,3.5th,Land,Limited Export,Yes,N/A,Optical,Link 16 datalink,Naval,Steel plate,3.5th generation Automatic Grenade Launcher; operated by Poland; active (limited) service; Naval optimised
467,MSTAR-12,Bangladesh,Ministry Arms Factory,Special Systems,Electronic Warfare System,1981,,Active,Directed energy beam,Passive RF collection,34923,101871,8344.44,10259,,,,,,,8,64513816,23,Bangladesh + 22 allied nations,Yes,5th,Land,Not Exported,No,Manual,Inertial,JTIDS,Naval,Hard-kill APS (Trophy),5th generation Electronic Warfare System; operated by Bangladesh; active service; Naval optimised
468,E-466,Bangladesh,State Arsenal,Aircraft,Carrier-Based Fighter,1983,,Active (Limited),30mm ADEN cannon,N/A - FBW quadruplex,9213086,16230627,82962.33,25428,,,,,,1612,2,3923015093,35,Bangladesh + 34 allied nations,N/A,2nd,Air,Embargoed,No,Ramjet,Inertial,Link 16 datalink,Jungle,Slat/Cage armor,2nd generation Carrier-Based Fighter; operated by Bangladesh; active (limited) service; Jungle optimised
469,AIM-130,Hungary,Armed Forces Ordnance,Missile,Air-to-Air WVR Missile,1950,,Active,920mm,Command link TVM,13338043,15378205,40525.22,16564,,,,2,214.3,,3,23842760,3,Hungary + 2 allied nations,Yes,4.5th,Sea,Embargoed,Limited,Hypersonic scramjet,Active radar,HF/VHF/UHF,Desert,Slat/Cage armor,4.5th generation Air-to-Air WVR Missile; operated by Hungary; active service; Desert optimised
470,Bill-264,Myanmar,Armed Forces Ordnance,Anti-Tank,Network-Enabled ATGM,1989,,Active (Limited),152mm,3rd gen imaging IR seeker,28898,43851,65.21,722,,,,1,586.1,,3,569296,7,Myanmar + 6 allied nations,N/A,6th (prototype),Land,Very Limited Export,Limited,Electric,RF guided,BFT Blue Force Tracking,Urban,Rolled Homogeneous Armour (RHA),6th (prototype) generation Network-Enabled ATGM; operated by Myanmar; active (limited) service; Urban optimised
471,BREM-280,Zimbabwe,State Defence Enterprise,Special Systems,Decontamination Vehicle,1959,,Testing/Evaluation,Electronic/Laser,Active radar,303271,615057,12338.87,5429,,,,,,,8,17279524,28,Zimbabwe + 27 allied nations,Partial,3rd,Air,Exported,Limited,N/A,Inertial,BFT Blue Force Tracking,Arctic/Cold weather,Hard-kill APS (Trophy),3rd generation Decontamination Vehicle; operated by Zimbabwe; testing/evaluation service; Arctic/Cold weather optimised
472,MSBS-400,Romania,State Arsenal,Small Arm,Combat Shotgun,1998,2007,Retired,6.8x51mm,Long recoil operated,1986,3464,5.33,448,682,622,1054,97,,,1,96157,21,Romania + 20 allied nations,Partial,5th+,Land,Limited Export,Limited,Chemical,Optical,JTIDS,Multi-environment,Rolled Homogeneous Armour (RHA),5th+ generation Combat Shotgun; operated by Romania; retired service; Multi-environment optimised
473,BMP-127,France,Naval Group,Armored Vehicle,Self-Propelled AA Vehicle,1955,2022,Retired,90mm rifled,N/A - manual loading,7891,12297,29803.74,3751,,,,,,,3,11349492,28,France + 27 allied nations,N/A,1st,Land,Exported,Limited,Gas turbine,Optical,BFT Blue Force Tracking,High-altitude,Rolled Homogeneous Armour (RHA),1st generation Self-Propelled AA Vehicle; operated by France; retired service; High-altitude optimised
474,QLZ-343,Serbia,Defence Production Corp,Support Weapon,Automatic Grenade Launcher,1959,,Reserve,120mm,Recoilless single-shot,9218,17413,121.92,870,590,341,28,32,301.5,,5,47364,26,Serbia + 25 allied nations,N/A,5th+,Land,Key Export Product,No,Manual,Optical,BFT Blue Force Tracking,Mountain,No armor,5th+ generation Automatic Grenade Launcher; operated by Serbia; reserve service; Mountain optimised
475,A-166,Ghana,National Defence Industries,Aircraft,Strategic Transport,1994,,Reserve,7.62mm minigun,N/A - conventional controls,9691686,15828589,136952.58,39976,,,,,,3063,3,2440810779,11,Ghana + 10 allied nations,N/A,2nd,Air,Embargoed,Limited,Rotary (turboshaft),Unguided,JTIDS,High-altitude,Full spectrum protection,2nd generation Strategic Transport; operated by Ghana; reserve service; High-altitude optimised
476,KC-417,Somalia,Defence Production Corp,Aircraft,Aerial Tanker,1967,,Active (Limited),30mm GSh-30-1,N/A - conventional controls,1346267,1644630,101833.65,31400,,,,,,1142,4,2002858896,8,Somalia + 7 allied nations,Partial,3rd,Air,Limited Export,Limited,Turbofan,N/A,IFF Mode 4/5,Urban,Hard-kill APS (Trophy),3rd generation Aerial Tanker; operated by Somalia; active (limited) service; Urban optimised
477,RQ-174,Botswana,State Defence Enterprise,UAS,Swarm Drone System,1954,,Testing/Evaluation,EO/IR/SAR multi-sensor,Passive anti-radiation homing,5374339,15755356,17805.76,6251,,,,,496.7,,3,207077020,3,Botswana + 2 allied nations,Partial,5th,Land,Limited Export,Yes,Piston engine,Operator BLOS,Link 16 datalink,Littoral,Composite + Trophy APS,5th generation Swarm Drone System; operated by Botswana; testing/evaluation service; Littoral optimised
478,G-163,Zimbabwe,National Ordnance Plant,Artillery,Heavy Mortar System,1963,,Active,300mm heavy rocket,Autoloaded carousel,35799,76418,58528.34,6936,,,9,63,,,6,5716853,3,Zimbabwe + 2 allied nations,No,3rd,Land,Embargoed,Yes,Wheeled diesel,Inertial,Link 11,Multi-environment,Explosive Reactive Armour (ERA),3rd generation Heavy Mortar System; operated by Zimbabwe; active service; Multi-environment optimised
479,ROKS-353,Slovakia,Government Defence Works,Naval,Patrol Boat,1982,,Active,114mm Mk8,N/A - naval propulsion,,,98813245.18,92933,,,,,,,1737,10504398223,10,Slovakia + 9 allied nations,Yes,4th,Sea,Widely Exported,Limited,Pump-jet,Inertial,BFT Blue Force Tracking,All-terrain,Electro-optical APS,4th generation Patrol Boat; operated by Slovakia; active service; All-terrain optimised
480,AN/-v4,Ecuador,National Ordnance Plant,Special Systems,Electronic Warfare System,2011,,Active,Directed energy beam,Multi-spectral EO/IR,648411,1777660,24303.12,8521,,,,,,,2,27441970,20,Ecuador + 19 allied nations,No,3.5th,Land,Very Limited Export,Limited,N/A,Optical,Link 11,All-terrain,Active Protection System,3.5th generation Electronic Warfare System; operated by Ecuador; active service; All-terrain optimised
481,SA-66,Jordan,State Arsenal,Air Defense,Medium-Range SAM,1996,2004,Retired,76mm,Passive anti-radiation,332194,576274,43631.8,,,,,1,340.2,,4,489395820,12,Jordan + 11 allied nations,No,3.5th,Sea,Not Exported,Yes,Mechanical,Active radar TVM,JTIDS,Mountain,Steel plate,3.5th generation Medium-Range SAM; operated by Jordan; retired service; Mountain optimised
482,PF-468,Kenya,State Arsenal,Anti-Tank,Anti-Tank Mine System,1971,,Active,100mm,3rd gen imaging IR seeker,16715,19207,10.87,716,,,,1,285.8,,1,381031,14,Kenya + 13 allied nations,N/A,4th,Land,Exported,No,N/A,Active radar MMW,Software Defined Radio,Underground,Composite Chobham,4th generation Anti-Tank Mine System; operated by Kenya; active service; Underground optimised
483,AK-238,Kuwait,State Defence Enterprise,Small Arm,Sniper Rifle,2021,,Active,40x53mm,Semi-automatic gas,1292,2144,6.94,486,549,608,1440,67,,,2,138921,12,Kuwait + 11 allied nations,Yes,5th,Land,Embargoed,No,Electric,Inertial,HF/VHF/UHF,Jungle,Composite + Trophy APS,5th generation Sniper Rifle; operated by Kuwait; active service; Jungle optimised
484,RBS-484,Estonia,Armed Forces Ordnance,Air Defense,Long-Range SAM,1985,,Testing/Evaluation,152mm,Imaging IR seeker,180386,326413,7736.65,,,,,9,471.6,,3,1220252307,11,Estonia + 10 allied nations,Partial,6th (prototype),Sea,Widely Exported,Limited,Chemical,Proximity radar fuse,IFF Mode 4/5,Mountain,Composite Chobham,6th (prototype) generation Long-Range SAM; operated by Estonia; testing/evaluation service; Mountain optimised
485,AMX-383,Canada,General Dynamics Canada,Armored Vehicle,Tank Destroyer,1987,,In Development,90mm rifled,N/A - semi-autoloader,3862,6084,67788.93,11733,,,,,,,6,11730531,9,Canada + 8 allied nations,N/A,4th,Land,Key Export Product,Limited,Diesel V-8,Optical,Encrypted UHF/VHF,Multi-environment,Explosive Reactive Armour (ERA),4th generation Tank Destroyer; operated by Canada; in development service; Multi-environment optimised
486,L-114,Bangladesh,State Defence Enterprise,Small Arm,Pistol,1986,,Reserve,4.6x30mm,Recoil-operated rotating barrel,576,951,2.8,589,677,979,,139,,,2,70106,25,Bangladesh + 24 allied nations,Yes,2nd,Land,Widely Exported,No,Electric,Inertial,Link 11,All-terrain,Classified composite,2nd generation Pistol; operated by Bangladesh; reserve service; All-terrain optimised
487,A-472,Malta,National Defence Industries,Aircraft,Maritime Patrol Aircraft,1986,,Testing/Evaluation,7.62mm minigun,N/A - fly-by-wire,9011201,14434697,97260.07,37062,,,,,,2091,3,2759522235,9,Malta + 8 allied nations,Yes,4.5th,Air,Key Export Product,No,Ramjet,Optical,HF/VHF/UHF,Amphibious,Active Protection System,4.5th generation Maritime Patrol Aircraft; operated by Malta; testing/evaluation service; Amphibious optimised
488,AS-M3,Greece,Armed Forces Ordnance,Artillery,Wheeled Self-Propelled Howitzer,1977,,Reserve,227mm MLRS rocket,Manual breech-loaded,225499,418420,52037.83,4723,,,11,79,,,7,7918164,32,Greece + 31 allied nations,Partial,4.5th,Land,Widely Exported,Yes,Self-propelled diesel,Inertial,Software Defined Radio,Desert,Slat/Cage armor,4.5th generation Wheeled Self-Propelled Howitzer; operated by Greece; reserve service; Desert optimised
